Job_Role,Education_Level,Marital_Status,Salary,Workload,Experience,IQ,Skill_Level,Training_Hours,Work_Life_Balance,Family_Responsibilities
Clerk,PhD,Divorced,82125.32746499038,31.420896230434362,28.705311481576434,130.84007670266266,11.292060334326523,473.25872637675,8.26084951999931,12.031058659731997
Technician,PhD,Single,93378.65978224113,32.220856610055385,27.82583299210316,134.72605767305743,9.250828273396758,478.6529618233242,8.616663976471118,10.897281985762628
Analyst,PhD,Divorced,121282.37650995066,39.666537939026746,26.626406520932804,132.50415795502107,11.315508290940103,495.81714070557564,7.087973547129169,11.985631874459107
Technician,PhD,Single,101505.92753404837,32.24394046554172,21.643864827717575,125.6076309932897,10.210496298921504,476.32225759234893,7.559725363149196,12.454864951108378
Technician,PhD,Divorced,101417.71704984354,33.747899559184745,29.065636783210692,133.7122945679631,9.839580618024652,453.7110907841236,6.4710015857968735,12.031532170912536
Manager,High School,Divorced,161141.2149209523,49.11473025728628,42.746249912141536,96.81206228962019,4.500900497934282,260.03009206941965,5.9242633515583885,10.819048770017304
Analyst,PhD,Married,123495.45069088272,40.92745015803413,28.82161905454153,131.08341559482142,8.944360510201404,443.1477635277534,5.568544355440115,14.320796543795737
Analyst,High School,Single,118091.85913351769,40.75536333182724,25.75287696803878,98.48324966261433,1.646314240432994,260.8851413440457,5.879912784879826,10.753519121565132
Analyst,PhD,Married,108413.26369210941,34.26284787066085,24.033365253654353,128.90566874132188,8.767568760836,447.47905350744156,5.2639363465314855,13.648805077254593
Technician,Master,Single,90803.4912665913,35.16480233299955,25.261681004410114,123.83121487520255,7.952461970536169,377.19736528289343,7.6890624836489065,11.873004656402859
Clerk,Bachelor,Divorced,77733.6859104993,27.871260435752482,24.597332827107397,104.79903140092051,6.689188933651679,315.19896965578914,7.609880047190419,11.811072194776504
Analyst,High School,Divorced,123085.74325132272,34.224485267973996,27.014245510249673,109.72597537138466,3.669922781404639,215.96060817968652,6.960073536626636,9.990044873097204
Technician,PhD,Single,112655.24492146625,34.34894884872689,26.93330850663825,120.89456965352753,11.223948753146004,406.7696278189505,8.794923113875559,11.870058836151093
Manager,Master,Married,166789.07035170117,49.07455163463254,37.38252366334675,117.01166158372571,6.802379532204035,380.4734854919658,7.3491351051134295,15.80980308760146
Clerk,Bachelor,Married,84269.08915722766,37.280149459036565,31.393067629557358,111.8510594497087,4.634759022510154,325.35095423211425,7.058170093824102,15.530589485090225
